name,writer,translator,nasher,sku,price,pages,year_shamsi,year_miladi,nobat,ghat,jeld,description,category
بازاریابی و فروش تلفنی با نگرش بازار ایران,پرویز درگی,سید مهدی جلالی،,بازاریابی,‫‭978-6226659901‬‬,801000,715.0,1404.0,2010.0,2.0,رحلی,شومیز,ترنس ای. شیمپ استاد ممتاز بازنشسته دانشکده بازرگانی دارلا مور در دانشگاه کارولینای جنوبی است. دکتر شیمپ از سال ۱۹۷۷ در دانشگاه کارولینای جنوبی مشغول به کار بوده است. پیش از تصدی سمت استاد ممتاز، او رئیس دپارتمان بازاریابی و استاد و عضو برجسته بنیاد دبلیو. دبلیو. جانسون در همان دانشگاه بود.,مالی
تداوم کسب و کارهای خانوادگی,کلی لکووی,جمشید صادق،,آریانا قلم,‭978-6227089431‬,335700,312.0,1404.0,2018.0,2.0,رقعی,شومیز,کتاب «نجات محصول از تلۀ تولید» نوشته ملیسا پری، راهنمای عملی برای افرادی است که در حوزۀ مدیریت محصول کار می کنند. این کتاب به یک دام رایج در توسعه محصول می پردازد که در آن سازمان ها به جای ایجاد ارزش برای مشتریان، بر ارائه ویژگی های ظاهری تمرکز می کنند. این پدیده به «تله ساخت» معروف است. این کتاب بر اهمیت تغییر رویکرد از یک نگاه متمرکز بر ویژگی‌های ظاهری به یک ذهنیت نتیجه محور تأکید می کند. نویسنده تله ساخت را به عنوان وضعیتی تعریف می کند که در آن شرکت ها، خروجی ها (ویژگی ها) را بر نتایج (ارزش) اولویت می دهند. این امر، به بیان او، منجر به ایجاد محصولاتی می شود که نیازهای مشتری را برآورده نمی کند یا باعث موفقیت کسب و کار در بلند مدت نمی گردند. این کتاب بر نقش حیاتی مدیر محصول را در هدایت سازمان ها از تله ساخت تأکید می کند. مدیر محصول باید بر درک مشکلات مشتری، تعریف اهداف روشن و اطمینان از اینکه تیم در جهت ارائه ارزش واقعی کار می کند، تمرکز کنند. نویسنده در واقع از یک رویکرد نتیجه‌محور دفاع می‌کند که در آن موفقیت به جای تعداد کمی ویژگی‌های ارائه‌شده، با کیفیت مأثر بر مشتریان و کسب‌وکار اندازه‌گیری می‌شود. نویسنده برای تحقق این رویکرد بر اهمیت درک نیازها و مشکلات مشتری تاکید کنید که شامل تحقیقات مداوم در حوزۀ نیازهای مشتریان و ایجاد حلقه‌های بازخورد است تا اطمینان حاصل شود که محصول عرضه‌شده مشکلات واقعی مشتریان را حل می‌کند. این کتاب همچنین چگونگی ایجاد یک نظم هدفمند تحت مدیریت محصول در یک شرکت را مورد بحث قرار می دهد. این امر مستلزم ایجاد فرهنگی است که در آن مدیریت محصول در استراتژی شرکت و فرآیندهای تصمیم گیری تأثیر به‌سزایی بگذارد. قابل ذکر است که کتاب شامل چندین مطالعۀ موردی در دنیای واقعی برای توضیح مباحث نظری کتاب است. این مثال‌ها نشان می‌دهند که چگونه شرکت‌های مختلف با موفقیت از تله ساخت فرار کرده و فرآیندهای توسعه محصول خود را متحول کرده‌اند.,مالی
مجموعه سوالات و پاسخ های آزمون DIPIFR,مجموعه ی نویسندگان,نامشخص,فصل اندیشه,978-6229457672,127500,158.0,1404.0,,2.0,رقعی,شومیز,"هوش مالی به مجموعه مهارت هایی گفته می شود که به کودکان کمک می کند تا از خردسالی به عنوان یک بزرگسال البته با مسئولیت پذیری مالی بیشتری رشد کنند. این مهارت ها شامل شناخت مفاهیم پایه مالی مانند: پس انداز، بودجه بندی، سرمایه گذاری و بدهی می شود.
درک مفاهیم پایه مالی به کودکان کمک می کند تا بهترین تصمیمات مالی را در زندگی بگیرند.با یادگیری هوش مالی،کودکان همچنین می توانند مسئولیت پذیری مالی را درک کنند و با مدیریت هزینه ها و درآمد های خود، برای آینده خود پس انداز کرده و به هدف های خود برسند.
پس انداز یکی از مفاهیم پایه مالی است که به کودکان آموزش داده می شود. با یادگیری پس انداز،کودکان یاد می گیرند که چگونه پول خود را صرف هزینه های ضروری کنند و برای آنها خود پس انداز کنند.
بودجه بندی نیز یکی دیگر از مفاهیم پایه مالی است که به کودکان آموزش داده می شود.با یادگیری بودجه بندی، کودکان یاد می گیرند که چگونه در آمد خود را مدیریت کنند و برای هزینه های مختلفی مانند خرید بازی، پول دادن به خیریه و پس انداز، بودجه ای تعیین کنند.
سرمایه گذاری نیز یکی دیگر از مهارت های هوش مالی است که به کودکان آموزش داده می شود.با یادگیری سرمایه گذاری، کودکان یاد می گیرند که چگونه پول خود را به کودکان نشان می دهد که سرمایه گذاری در بلندمدت می تواند به آنها کمک کنند تا به هدف های مالی خود برسند.",مالی
مولتی میلیونر ترک تحصیل کرده,برایان ویل,کاوه عظیمی،,بازاریابی,978-6225459168,198000,146.0,1404.0,2023.0,3.0,رقعی,شومیز,"کتاب «نه... روانشناسی فروش و مذاکره : 40 درس در زمینه مذاکره» نوشته برایان ویل، مجموعه‌ای از درس‌های عملی و تجربه‌محور درباره فروش و مذاکره است که با زبانی بی‌پرده، مستقیم و گاه چالش‌برانگیز به باورهای رایج در این حوزه پاسخ می‌دهد. نویسنده، برخلاف بسیاری از کتاب‌های رسمی در این زمینه، از زاویه دید کسی می‌نویسد که سال‌ها در میدان واقعی کسب‌وکار حضور داشته و با آزمون و خطا، به درکی متفاوت از رفتار انسانی در فرآیند فروش و مذاکره رسیده است.
موضوع محوری کتاب، تمرکز بر واژه «نه» است. برایان ویل معتقد است که بیشتر فروشندگان و مذاکره‌کنندگان از شنیدن «نه» واهمه دارند، در حالی که قدرت واقعی در پذیرش و مدیریت همین واژه نهفته است. او در فصل‌های ابتدایی بر این نکته تأکید می‌کند که تا زمانی که فرد از ترس رد شدن یا از دست دادن معامله عبور نکند، نمی‌تواند در مذاکره به موقعیت برابر دست پیدا کند. در واقع، توانایی شنیدن «نه» و حتی استفاده از آن به‌عنوان یک ابزار روانی، بخشی از بلوغ فکری مذاکره‌کننده محسوب می‌شود.
در ادامه، ویل به بررسی الگوهای رفتاری خریدار و فروشنده می‌پردازد. او فروش را بیشتر یک بازی ذهنی می‌داند تا صرفا انتقال اطلاعات یا متقاعدسازی. به باور او، درک روان‌شناسی طرف مقابل، تشخیص زبان بدن، شناخت انگیزه‌های پنهان و استفاده از سکوت در زمان مناسب، مهم‌تر از حفظ فهرست ویژگی‌های محصول است. این نگاه باعث می‌شود خواننده به جای تمرکز بر تکنیک‌های سطحی، به لایه‌های عمیق‌تری از فرآیند مذاکره توجه کند.
یکی از بخش‌های مهم کتاب، بررسی خودفریبی فروشندگان است. برایان ویل بارها به این نکته اشاره می‌کند که بسیاری از فروشندگان، به جای شنیدن واقعی نیازهای مشتری، درگیر پیش‌فرض‌های ذهنی خود می‌شوند. او با مثال‌هایی از موقعیت‌های واقعی نشان می‌دهد که چگونه این پیش‌فرض‌ها می‌توانند مانع رسیدن به توافقی سودمند شوند. بر همین اساس، او بر اهمیت گوش‌دادن فعال، پرسیدن سوالات باز و دوری از عجله در ارائه راه‌حل تأکید دارد. در فصل‌های پایانی، کتاب نگاهی صریح به مفهوم ارزش در معامله دارد. نویسنده توضیح می‌دهد که قیمت، تنها یکی از اجزای تصمیم‌گیری مشتری است و تمرکز بیش از حد بر آن، مذاکره را در مسیر اشتباهی قرار می‌دهد. او توصیه می‌کند که فروشنده باید به جای دفاع از قیمت، بر ساختن ادراک ارزش تمرکز کند؛ ارزشی که از درک عمیق نیاز مشتری و ارائه راه‌حل متناسب با آن ناشی می‌شود.
کتاب «نه... روانشناسی فروش و مذاکره» روایتی بی‌واسطه از دنیای واقعی مذاکره است؛ جایی که مهارت، جسارت، درک روان انسان و آمادگی برای شنیدن «نه» می‌تواند تفاوتی چشمگیر ایجاد کند. برای خواننده‌ای که به دنبال نگاهی تازه و صادقانه به فروش است، این کتاب حرف‌های زیادی برای گفتن دارد.",مالی
موفقیت در رکود,برایان تریسی,مهدی قراچه داغی،,ذهن آویز,978-6001181597,323000,272.0,1404.0,2013.0,7.0,رقعی,شومیز,"کتاب «موفقیت در فروش نامحدود» نوشته برایان تریسی، اثری کاربردی در حوزه فروش است که بر اساس سال‌ها تجربه‌ عملی نویسنده در بازارهای مختلف و آموزش به هزاران فروشنده در سراسر جهان تدوین شده است. این کتاب در دوازده فصل مجزا به بررسی اصولی می‌پردازد که تریسی آن‌ها را پایه‌های موفقیت در فروش می‌داند؛ اصولی که اگر به‌درستی فهم و اجرا شوند، می‌توانند نتایج فروش را به‌طور چشمگیری متحول کنند.
تمرکز اصلی کتاب بر این است که فروش یک مهارت آموختنی است. تریسی فروشنده موفق را نه لزوما فردی با استعداد ذاتی، بلکه کسی می‌داند که با انضباط، تمرین و شناخت نیازهای مشتری، به مهارت‌های لازم دست یافته است. او در همان فصل‌های ابتدایی به اهمیت ذهنیت در فروش اشاره می‌کند. به‌زعم او، طرز فکر فروشنده درباره خودش، محصولش و مشتری، بر رفتار و عملکرد فروش تأثیر مستقیم دارد. به همین دلیل، ایجاد اعتماد به نفس، هدف‌گذاری روشن و باور به ارزش کالا یا خدماتی که ارائه می‌شود، از گام‌های نخست در مسیر موفقیت هستند.
در ادامه، کتاب وارد حوزه‌های عملی‌تر می‌شود. از جمله بررسی دقیق فرآیند یافتن مشتریان بالقوه، ایجاد ارتباط موثر، شناسایی نیازهای واقعی مشتری، ارائه پیشنهاد متناسب با خواسته‌های او و در نهایت، بستن قرارداد. تریسی در هر یک از این مراحل با مثال‌های فراوان و تکنیک‌های آزموده‌شده، نشان می‌دهد که چگونه می‌توان از یک گفتگوی عادی، یک فروش موفق ساخت. او تأکید دارد که فروشنده باید شنونده‌ای فعال باشد؛ چرا که تنها از دل گوش‌دادن دقیق به سخنان مشتری است که می‌توان به انگیزه‌های واقعی خرید پی برد. یکی از بخش‌های قابل توجه کتاب، به مدیریت زمان و بهره‌وری فردی فروشنده اختصاص دارد. تریسی به‌روشنی بیان می‌کند که فروشندگان موفق، بیش از آن که به فعالیت مشغول باشند، به نتایج توجه دارند. از این‌رو، برنامه‌ریزی روزانه، اولویت‌بندی وظایف و تمرکز بر فعالیت‌های درآمدزا، از جمله توصیه‌هایی است که در این بخش مطرح می‌شود. در فصل‌های پایانی، نویسنده به موضوع پیگیری و حفظ ارتباط با مشتریان بازمی‌گردد. برخلاف تصور رایج که فروش را پایان کار می‌داند، تریسی معتقد است که رابطه واقعی با مشتری پس از اولین خرید آغاز می‌شود. حفظ این رابطه، ایجاد اعتماد بلندمدت و تبدیل مشتری به منبع ارجاع، از مولفه‌هایی است که در نهایت باعث رشد پایدار فروشنده می‌شود.
کتاب «موفقیت در فروش نامحدود» با تمرکز بر رفتار، مهارت و برنامه‌ریزی فردی فروشنده، مجموعه‌ای از راهبردهای مشخص و قابل اجرا را ارائه می‌دهد. این اثر برای افرادی که در آغاز مسیر فروش قرار دارند، نقشه راهی روشن ترسیم می‌کند و برای فروشندگان باتجربه، بستری برای بازنگری و ارتقاء عملکرد فراهم می‌سازد. آنچه در سرتاسر کتاب دیده می‌شود، تأکید بر عمل‌گرایی است؛ یعنی تبدیل دانش فروش به رفتارهایی قابل سنجش که نتیجه انکارناپذیر دارند.",مالی
چرا این ها را در مدرسه یادم ندادند؟,کری سیگل,غلامحسین سدیر عابدی، ، هنگامه خدابنده، ، محسن مجدی کیا، ، امیر باغستانی، ، شایسته دستخط گشنی، ، ابوالفضل قلی زاده، ، مامک بهادر زاده، ، امیر دیوانی، ، نفیسه توکلی، ، اعظم نایبی، ، ابراهیم قهرمانی، ، گیتی شهیدی، ، محبوبه قاقم پوش، ، رضا عباس زاده، ، احسان بابایی فرد، ، کامبیز هادی پور، ، مژگان مقتدری، ، میترا افشاری، ، ، علی سیدی، ، فاطمه امینی، ، خدیجه مطیعی، ، ، پروین قائمی،,ترانه,978-9645638847,175750,252.0,1404.0,1997.0,23.0,رقعی,شومیز,کتاب پدر پولدار پدر بی پول، اثری نوشته ی رابرت تی کی یوساکی است که اولین بار در سال 1997 منتشر شد. کی یوساکی در این کتاب که فروشی بیش از 36 میلیون نسخه داشته، داستان دو پدر خود را نقل می کند: پدر واقعی اش، که او را «پدر بی پول» می نامد، و پدر بهترین دوستش که به راهنما و «پدر پولدار» او تبدیل شد. یکی از این مردان، تحصیل کرده بود و تمام عمر خود را به عنوان یک کارمند گذرانده بود، در حالی که دیگری، از تجارب خود در زندگی درس آموخته بود و مسیر کارآفرینی را طی می کرد؛ مسیری که او را به یکی از ثروتمندترین مردان در هاوایی تبدیل کرد. کی یوساکی در کتاب کتاب پدر پولدار پدر بی پول به ما نشان می دهد که چگونه این دو مرد با نگرش کاملا متفاوت خود نسبت به پول، سرمایه گذاری و تجارت، به شیوه ی تفکر او به پول شکل دادند.,مالی
انقلاب دیجیتال,یوری آگیار,علی محمدی (1355)، ،,باوین کتاب,978-6225517240,240000,196.0,1403.0,2020.0,1.0,رقعی,شومیز,"کتاب چرا طلا چرا حالا به سه بخش مهم تقسیم می‌شود:
چرا طلا؟ این بخش تاریخ الگوی ناخوشایندی را نشان می‌دهد که دولت‌ها پس‌اندازهای آینده را امروز خرج می‌کنند و پس‌اندازکنندگان ناآگاه را با ضرر مواجه می‌سازند.
چرا الان؟ بررسی رویدادهای اخیر که آینده‌ای خطرناک را برای پول امروزی پیش‌بینی می‌کنند.
راهنمای عملی بازار طلا: نویسنده باز زبانی ساده در مورد طلا مانند شمش‌ها و سکه‌ها توضیح می‌دهد.
دلیلی وجود دارد که نخبگان جهان، طلا را به عنوان یک دارایی مهم در نظر می‌گیرند. در دوره‌های آشفتگی مالی، طلا بی‌همتاست. طلا تنها دارایی است که بدهی یا تعهد دیگری را به همراه ندارد. آپارتمان‌ها به اجاره پرداختی مستأجران وابسته‌اند، سهام به سود شرکت‌ها وابسته است، اوراق قرضه به پرداخت‌های بهره پایدار وابسته است. اما طلا برای ارزش خود به هیچ‌کس یا هیچ‌چیز وابسته نیست.
تاکر سرمایه‌گذاران را با زبانی ساده از روش‌های مالکیت طلا آگاه می‌کند: از شمش‌های فیزیکی و سکه‌ها گرفته تا سهام شرکت‌های معدنی. او روش مورد علاقه خود، یعنی شرکت‌های مبتنی بر طلا را نیز آشکار می‌کند. از یک تازه‌کار گرفته تا یک حرفه‌ای در سرمایه‌گذاری که می‌خواهد با بازار طلا آشنا شود، کتاب چرا طلا؟ چرا الان؟ راهنمای ضروری برای دنیای طلاست.
متن فوق ترجمه ای از توضیحات ارائه شده برای این کتاب در سایت آمازون است.",مالی
اینفوگرافی قوانین مالیات بر ارزش افزوده,حسین عمارلو,نامشخص,دانشگاه تهران,978-9640377475,299520,256.0,1403.0,,1.0,وزیری,شومیز,"دکتر ابوالقاسم نادری متولد سال 1344؛ دارای کارشناسی, 1366, اقتصاد, علامه طباطبایی، کارشناسی ارشد, 1369, اقتصاد, تهران، و دکتری, 1378, اقتصاد آموزش, لندن می باشد.",مالی
قیمت گذاری پیشرفته اختیار معامله ها,علیرضا سارنج,محمدرضا سعیدآبادی،,دانشگاه تهران,978-9640377314,489060,418.0,1403.0,2022.0,1.0,وزیری,شومیز,نامشخص,مالی
بازاریابی رفتاری,نانسی هارهات,نامشخص,دانشگاه تهران,‫‬‬‭978-9640376133,727740,622.0,1403.0,,1.0,وزیری,شومیز,امید فرجی مولف ایرانی متولد سال 1366 می‌باشد.,مالی
کسب و کار اینترنتی به زبان ساده,معراج معمار نسب,ریحانه شکری،,نسل نواندیش,978-6222209445,191920,232.0,1403.0,2021.0,1.0,رقعی,شومیز,ویکتوریا دوین در حال تغییر طرز تفکر نسل جوان در مورد پول است. ویکتوریا با سابقه‌ای در روان‌شناسی رفتاری و دو پادکست برتر، می‌داند چه چیزی باعث می‌شود نسل او مفاهیم سخت‌فهم را سرگرم‌کننده، تازه و قابل ربط کند. ویکتوریا که اکنون به عنوان یک مشاور مالی برنده جوایز بازنشسته شده است، یکی از بنیانگذاران Zella Money، یک تجارت دلالی وام مسکن برنده جوایز، و یک ستون نویس مالی برای The Age و Sydney Morning Herald است. او یک سخنران مهمان در رویدادها بوده و در نشریاتی مانند ووگ، ABC News، RMIT Future of Financial Planning، Mamamia، مجله Elle، Yahoo Finance و بسیاری دیگر حضور داشته است.,مالی
بازی گوش بازی ساز,مازن حریری,نامشخص,نشر چشمه,‫‭978-6224842169‬‬,153000,156.0,1403.0,,1.0,رقعی,شومیز,فائزه درخشانی نویسنده ایرانی متولد سال 1363 می‌باشد.,مالی
